Ldm, 05:47:41,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:41,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:42,244 	 DEBUG 	 camInfo received 		
Ldm, 05:47:42,246 	 DEBUG 	 CAM received 		
Ldm, 05:47:42,246 	 INFO  	 METRIC_CAM_RECV 35 3488425 		
Ldm, 05:47:42,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:42,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:42,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:42,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:43,271 	 DEBUG 	 camInfo received 		
Ldm, 05:47:43,271 	 DEBUG 	 CAM received 		
Ldm, 05:47:43,271 	 INFO  	 METRIC_CAM_RECV 36 3489449 		
Ldm, 05:47:43,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:43,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:43,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:43,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:44,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:44,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:44,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:44,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:44,303 	 DEBUG 	 camInfo received 		
Ldm, 05:47:44,303 	 DEBUG 	 CAM received 		
Ldm, 05:47:44,303 	 INFO  	 METRIC_CAM_RECV 37 3490482 		
Ldm, 05:47:45,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:45,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:45,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:45,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:45,370 	 DEBUG 	 camInfo received 		
Ldm, 05:47:45,370 	 DEBUG 	 CAM received 		
Ldm, 05:47:45,370 	 INFO  	 METRIC_CAM_RECV 38 3491549 		
Ldm, 05:47:46,295 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:46,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:46,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:46,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:46,396 	 DEBUG 	 camInfo received 		
Ldm, 05:47:46,396 	 DEBUG 	 CAM received 		
Ldm, 05:47:46,396 	 INFO  	 METRIC_CAM_RECV 39 3492574 		
Ldm, 05:47:47,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:47,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:47,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:47,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:47,430 	 DEBUG 	 camInfo received 		
Ldm, 05:47:47,430 	 DEBUG 	 CAM received 		
Ldm, 05:47:47,430 	 INFO  	 METRIC_CAM_RECV 40 3493609 		
Ldm, 05:47:48,288 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:48,288 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:48,288 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:48,288 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:48,507 	 DEBUG 	 camInfo received 		
Ldm, 05:47:48,508 	 DEBUG 	 CAM received 		
Ldm, 05:47:48,508 	 INFO  	 METRIC_CAM_RECV 41 3494687 		
Ldm, 05:47:49,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:49,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:49,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:49,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:49,574 	 DEBUG 	 camInfo received 		
Ldm, 05:47:49,575 	 DEBUG 	 CAM received 		
Ldm, 05:47:49,575 	 INFO  	 METRIC_CAM_RECV 42 3495753 		
Ldm, 05:47:50,295 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:50,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:50,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:50,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:50,647 	 DEBUG 	 CAM received 		
Ldm, 05:47:50,647 	 INFO  	 METRIC_CAM_RECV 43 3496825 		
Ldm, 05:47:50,648 	 DEBUG 	 camInfo received 		
Ldm, 05:47:51,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:51,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:51,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:51,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:51,702 	 DEBUG 	 camInfo received 		
Ldm, 05:47:51,702 	 DEBUG 	 CAM received 		
Ldm, 05:47:51,702 	 INFO  	 METRIC_CAM_RECV 44 3497881 		
Ldm, 05:47:51,824 	 DEBUG 	 camInfo received 		
Ldm, 05:47:51,825 	 DEBUG 	 CAM received 		
Ldm, 05:47:51,825 	 INFO  	 METRIC_CAM_RECV 45 3498003 		
Ldm, 05:47:52,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:52,297 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:52,297 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:52,297 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:52,365 	 DEBUG 	 camInfo received 		
Ldm, 05:47:52,366 	 DEBUG 	 CAM received 		
Ldm, 05:47:52,367 	 INFO  	 METRIC_CAM_RECV 46 3498545 		
Ldm, 05:47:52,893 	 DEBUG 	 camInfo received 		
Ldm, 05:47:52,893 	 DEBUG 	 CAM received 		
Ldm, 05:47:52,893 	 INFO  	 METRIC_CAM_RECV 47 3499072 		
Ldm, 05:47:53,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:53,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:53,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:53,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:53,921 	 DEBUG 	 camInfo received 		
Ldm, 05:47:53,922 	 DEBUG 	 CAM received 		
Ldm, 05:47:53,923 	 INFO  	 METRIC_CAM_RECV 48 3500101 		
Ldm, 05:47:54,288 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:54,288 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:54,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:54,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:54,970 	 DEBUG 	 camInfo received 		
Ldm, 05:47:54,971 	 DEBUG 	 CAM received 		
Ldm, 05:47:54,971 	 INFO  	 METRIC_CAM_RECV 49 3501150 		
Ldm, 05:47:55,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:55,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:55,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:55,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:56,014 	 DEBUG 	 camInfo received 		
Ldm, 05:47:56,014 	 DEBUG 	 CAM received 		
Ldm, 05:47:56,014 	 INFO  	 METRIC_CAM_RECV 50 3502193 		
Ldm, 05:47:56,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:56,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:56,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:56,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:57,090 	 DEBUG 	 camInfo received 		
Ldm, 05:47:57,091 	 DEBUG 	 CAM received 		
Ldm, 05:47:57,091 	 INFO  	 METRIC_CAM_RECV 51 3503269 		
Ldm, 05:47:57,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:57,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:57,293 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:57,294 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:58,109 	 DEBUG 	 camInfo received 		
Ldm, 05:47:58,109 	 DEBUG 	 CAM received 		
Ldm, 05:47:58,109 	 INFO  	 METRIC_CAM_RECV 52 3504288 		
Ldm, 05:47:58,291 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:58,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:58,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:58,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:59,136 	 DEBUG 	 CAM received 		
Ldm, 05:47:59,137 	 INFO  	 METRIC_CAM_RECV 53 3505315 		
Ldm, 05:47:59,137 	 DEBUG 	 camInfo received 		
Ldm, 05:47:59,286 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:59,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:59,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:47:59,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:00,181 	 DEBUG 	 camInfo received 		
Ldm, 05:48:00,181 	 DEBUG 	 CAM received 		
Ldm, 05:48:00,181 	 INFO  	 METRIC_CAM_RECV 54 3506360 		
Ldm, 05:48:00,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:00,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:00,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:00,291 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:01,269 	 DEBUG 	 camInfo received 		
Ldm, 05:48:01,269 	 DEBUG 	 CAM received 		
Ldm, 05:48:01,269 	 INFO  	 METRIC_CAM_RECV 55 3507448 		
Ldm, 05:48:01,284 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:01,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:01,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:01,285 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:02,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:02,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:02,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:02,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:02,305 	 DEBUG 	 camInfo received 		
Ldm, 05:48:02,306 	 DEBUG 	 CAM received 		
Ldm, 05:48:02,306 	 INFO  	 METRIC_CAM_RECV 56 3508484 		
Ldm, 05:48:03,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:03,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:03,289 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:03,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:03,342 	 DEBUG 	 CAM received 		
Ldm, 05:48:03,342 	 INFO  	 METRIC_CAM_RECV 57 3509520 		
Ldm, 05:48:03,342 	 DEBUG 	 camInfo received 		
Ldm, 05:48:04,293 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:04,293 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:04,294 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:04,294 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:04,477 	 DEBUG 	 camInfo received 		
Ldm, 05:48:04,477 	 DEBUG 	 CAM received 		
Ldm, 05:48:04,477 	 INFO  	 METRIC_CAM_RECV 58 3510656 		
Ldm, 05:48:05,295 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:05,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:05,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:05,296 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:05,557 	 DEBUG 	 camInfo received 		
Ldm, 05:48:05,558 	 DEBUG 	 CAM received 		
Ldm, 05:48:05,558 	 INFO  	 METRIC_CAM_RECV 59 3511736 		
Ldm, 05:48:06,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:06,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:06,288 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:06,288 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:06,653 	 DEBUG 	 camInfo received 		
Ldm, 05:48:06,654 	 DEBUG 	 CAM received 		
Ldm, 05:48:06,654 	 INFO  	 METRIC_CAM_RECV 60 3512833 		
Ldm, 05:48:07,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:07,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:07,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:07,290 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:07,692 	 DEBUG 	 camInfo received 		
Ldm, 05:48:07,693 	 DEBUG 	 CAM received 		
Ldm, 05:48:07,693 	 INFO  	 METRIC_CAM_RECV 61 3513871 		
Ldm, 05:48:08,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:08,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:08,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:08,292 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:08,764 	 DEBUG 	 camInfo received 		
Ldm, 05:48:08,764 	 DEBUG 	 CAM received 		
Ldm, 05:48:08,764 	 INFO  	 METRIC_CAM_RECV 62 3514943 		
Ldm, 05:48:09,301 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:09,303 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:09,304 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:09,304 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:09,825 	 DEBUG 	 camInfo received 		
Ldm, 05:48:09,825 	 DEBUG 	 CAM received 		
Ldm, 05:48:09,825 	 INFO  	 METRIC_CAM_RECV 63 3516004 		
Ldm, 05:48:10,287 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:10,288 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:10,288 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:10,288 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:10,848 	 DEBUG 	 camInfo received 		
Ldm, 05:48:10,849 	 DEBUG 	 CAM received 		
Ldm, 05:48:10,849 	 INFO  	 METRIC_CAM_RECV 64 3517027 		
Ldm, 05:48:11,293 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:11,295 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:11,295 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:11,295 	 DEBUG 	 dccInfo received 		
Ldm, 05:48:11,946 	 DEBUG 	 camInfo received 		
Ldm, 05:48:11,946 	 DEBUG 	 CAM received 		
Ldm, 05:48:11,946 	 INFO  	 METRIC_CAM_RECV 65 3518125 		
Ldm, 05:48:12,286 	 DEBUG 	 dccInfo received 		
