Ldm, 06:18:29,537 	 DEBUG 	 camInfo received 		
Ldm, 06:18:29,537 	 DEBUG 	 CAM received 		
Ldm, 06:18:29,537 	 INFO  	 METRIC_CAM_RECV 52 5335716 		
Ldm, 06:18:30,550 	 DEBUG 	 camInfo received 		
Ldm, 06:18:30,550 	 DEBUG 	 CAM received 		
Ldm, 06:18:30,550 	 INFO  	 METRIC_CAM_RECV 53 5336728 		
Ldm, 06:18:31,651 	 DEBUG 	 CAM received 		
Ldm, 06:18:31,651 	 INFO  	 METRIC_CAM_RECV 54 5337829 		
Ldm, 06:18:31,651 	 DEBUG 	 camInfo received 		
Ldm, 06:18:32,708 	 DEBUG 	 camInfo received 		
Ldm, 06:18:32,709 	 DEBUG 	 CAM received 		
Ldm, 06:18:32,709 	 INFO  	 METRIC_CAM_RECV 55 5338887 		
Ldm, 06:18:33,773 	 DEBUG 	 camInfo received 		
Ldm, 06:18:33,774 	 DEBUG 	 CAM received 		
Ldm, 06:18:33,774 	 INFO  	 METRIC_CAM_RECV 56 5339953 		
Ldm, 06:18:34,827 	 DEBUG 	 camInfo received 		
Ldm, 06:18:34,827 	 DEBUG 	 CAM received 		
Ldm, 06:18:34,827 	 INFO  	 METRIC_CAM_RECV 57 5341006 		
Ldm, 06:18:35,865 	 DEBUG 	 camInfo received 		
Ldm, 06:18:35,865 	 DEBUG 	 CAM received 		
Ldm, 06:18:35,866 	 INFO  	 METRIC_CAM_RECV 58 5342044 		
Ldm, 06:18:36,281 	 DEBUG 	 CAM received 		
Ldm, 06:18:36,281 	 INFO  	 METRIC_CAM_RECV 59 5342460 		
Ldm, 06:18:36,282 	 DEBUG 	 camInfo received 		
Ldm, 06:18:36,389 	 DEBUG 	 camInfo received 		
Ldm, 06:18:36,390 	 DEBUG 	 CAM received 		
Ldm, 06:18:36,390 	 INFO  	 METRIC_CAM_RECV 60 5342568 		
Ldm, 06:18:36,916 	 DEBUG 	 camInfo received 		
Ldm, 06:18:36,916 	 DEBUG 	 CAM received 		
Ldm, 06:18:36,916 	 INFO  	 METRIC_CAM_RECV 61 5343095 		
Ldm, 06:18:37,937 	 DEBUG 	 camInfo received 		
Ldm, 06:18:37,938 	 DEBUG 	 CAM received 		
Ldm, 06:18:37,938 	 INFO  	 METRIC_CAM_RECV 62 5344116 		
Ldm, 06:18:38,961 	 DEBUG 	 camInfo received 		
Ldm, 06:18:38,961 	 DEBUG 	 CAM received 		
Ldm, 06:18:38,961 	 INFO  	 METRIC_CAM_RECV 63 5345139 		
Ldm, 06:18:40,033 	 DEBUG 	 camInfo received 		
Ldm, 06:18:40,033 	 DEBUG 	 CAM received 		
Ldm, 06:18:40,033 	 INFO  	 METRIC_CAM_RECV 64 5346212 		
Ldm, 06:18:41,094 	 DEBUG 	 camInfo received 		
Ldm, 06:18:41,094 	 DEBUG 	 CAM received 		
Ldm, 06:18:41,094 	 INFO  	 METRIC_CAM_RECV 65 5347273 		
Ldm, 06:18:42,175 	 DEBUG 	 camInfo received 		
Ldm, 06:18:42,176 	 DEBUG 	 CAM received 		
Ldm, 06:18:42,176 	 INFO  	 METRIC_CAM_RECV 66 5348354 		
Ldm, 06:18:43,245 	 DEBUG 	 CAM received 		
Ldm, 06:18:43,246 	 INFO  	 METRIC_CAM_RECV 67 5349424 		
Ldm, 06:18:43,246 	 DEBUG 	 camInfo received 		
Ldm, 06:18:43,664 	 DEBUG 	 camInfo received 		
Ldm, 06:18:43,666 	 DEBUG 	 CAM received 		
Ldm, 06:18:43,666 	 INFO  	 METRIC_CAM_RECV 68 5349844 		
Ldm, 06:18:43,778 	 DEBUG 	 camInfo received 		
Ldm, 06:18:43,778 	 DEBUG 	 CAM received 		
Ldm, 06:18:43,778 	 INFO  	 METRIC_CAM_RECV 69 5349957 		
Ldm, 06:18:44,194 	 DEBUG 	 CAM received 		
Ldm, 06:18:44,194 	 INFO  	 METRIC_CAM_RECV 70 5350372 		
Ldm, 06:18:44,194 	 DEBUG 	 camInfo received 		
Ldm, 06:18:45,284 	 DEBUG 	 camInfo received 		
Ldm, 06:18:45,284 	 DEBUG 	 CAM received 		
Ldm, 06:18:45,284 	 INFO  	 METRIC_CAM_RECV 71 5351462 		
Ldm, 06:18:46,297 	 DEBUG 	 CAM received 		
Ldm, 06:18:46,297 	 INFO  	 METRIC_CAM_RECV 72 5352475 		
Ldm, 06:18:46,299 	 DEBUG 	 camInfo received 		
Ldm, 06:18:47,371 	 DEBUG 	 camInfo received 		
Ldm, 06:18:47,372 	 DEBUG 	 CAM received 		
Ldm, 06:18:47,372 	 INFO  	 METRIC_CAM_RECV 73 5353550 		
Ldm, 06:18:48,436 	 DEBUG 	 camInfo received 		
Ldm, 06:18:48,437 	 DEBUG 	 CAM received 		
Ldm, 06:18:48,437 	 INFO  	 METRIC_CAM_RECV 74 5354615 		
Ldm, 06:18:49,556 	 DEBUG 	 camInfo received 		
Ldm, 06:18:49,556 	 DEBUG 	 CAM received 		
Ldm, 06:18:49,556 	 INFO  	 METRIC_CAM_RECV 75 5355735 		
Ldm, 06:18:50,618 	 DEBUG 	 CAM received 		
Ldm, 06:18:50,618 	 INFO  	 METRIC_CAM_RECV 76 5356796 		
Ldm, 06:18:50,618 	 DEBUG 	 camInfo received 		
Ldm, 06:18:51,660 	 DEBUG 	 camInfo received 		
Ldm, 06:18:51,661 	 DEBUG 	 CAM received 		
Ldm, 06:18:51,661 	 INFO  	 METRIC_CAM_RECV 77 5357840 		
Ldm, 06:18:52,686 	 DEBUG 	 CAM received 		
Ldm, 06:18:52,686 	 INFO  	 METRIC_CAM_RECV 78 5358865 		
Ldm, 06:18:52,686 	 DEBUG 	 camInfo received 		
Ldm, 06:18:53,735 	 DEBUG 	 camInfo received 		
Ldm, 06:18:53,736 	 DEBUG 	 CAM received 		
Ldm, 06:18:53,736 	 INFO  	 METRIC_CAM_RECV 79 5359914 		
Ldm, 06:18:54,790 	 DEBUG 	 camInfo received 		
Ldm, 06:18:54,791 	 DEBUG 	 CAM received 		
Ldm, 06:18:54,791 	 INFO  	 METRIC_CAM_RECV 80 5360969 		
Ldm, 06:18:55,455 	 DEBUG 	 camInfo received 		
Ldm, 06:18:55,456 	 DEBUG 	 CAM received 		
Ldm, 06:18:55,456 	 INFO  	 METRIC_CAM_RECV 81 5361634 		
Ldm, 06:18:56,107 	 DEBUG 	 camInfo received 		
Ldm, 06:18:56,108 	 DEBUG 	 CAM received 		
Ldm, 06:18:56,108 	 INFO  	 METRIC_CAM_RECV 82 5362286 		
Ldm, 06:18:57,150 	 DEBUG 	 camInfo received 		
Ldm, 06:18:57,154 	 DEBUG 	 CAM received 		
Ldm, 06:18:57,154 	 INFO  	 METRIC_CAM_RECV 83 5363332 		
Ldm, 06:18:58,153 	 DEBUG 	 camInfo received 		
Ldm, 06:18:58,155 	 DEBUG 	 CAM received 		
Ldm, 06:18:58,155 	 INFO  	 METRIC_CAM_RECV 84 5364333 		
Ldm, 06:18:59,237 	 DEBUG 	 camInfo received 		
Ldm, 06:18:59,237 	 DEBUG 	 CAM received 		
Ldm, 06:18:59,237 	 INFO  	 METRIC_CAM_RECV 85 5365415 		
Ldm, 06:19:00,338 	 DEBUG 	 CAM received 		
Ldm, 06:19:00,339 	 INFO  	 METRIC_CAM_RECV 86 5366517 		
Ldm, 06:19:00,339 	 DEBUG 	 camInfo received 		
Ldm, 06:19:01,386 	 DEBUG 	 CAM received 		
Ldm, 06:19:01,387 	 DEBUG 	 camInfo received 		
Ldm, 06:19:01,387 	 INFO  	 METRIC_CAM_RECV 87 5367565 		
Ldm, 06:19:02,480 	 DEBUG 	 camInfo received 		
Ldm, 06:19:02,481 	 DEBUG 	 CAM received 		
Ldm, 06:19:02,481 	 INFO  	 METRIC_CAM_RECV 88 5368659 		
Ldm, 06:19:03,484 	 DEBUG 	 camInfo received 		
Ldm, 06:19:03,485 	 DEBUG 	 CAM received 		
Ldm, 06:19:03,485 	 INFO  	 METRIC_CAM_RECV 89 5369663 		
Ldm, 06:19:04,573 	 DEBUG 	 camInfo received 		
Ldm, 06:19:04,573 	 DEBUG 	 CAM received 		
Ldm, 06:19:04,573 	 INFO  	 METRIC_CAM_RECV 90 5370752 		
Ldm, 06:19:05,631 	 DEBUG 	 camInfo received 		
Ldm, 06:19:05,631 	 DEBUG 	 CAM received 		
Ldm, 06:19:05,631 	 INFO  	 METRIC_CAM_RECV 91 5371810 		
Ldm, 06:19:06,715 	 DEBUG 	 camInfo received 		
Ldm, 06:19:06,716 	 DEBUG 	 CAM received 		
Ldm, 06:19:06,716 	 INFO  	 METRIC_CAM_RECV 92 5372894 		
Ldm, 06:19:07,788 	 DEBUG 	 CAM received 		
Ldm, 06:19:07,788 	 INFO  	 METRIC_CAM_RECV 93 5373967 		
Ldm, 06:19:07,789 	 DEBUG 	 camInfo received 		
Ldm, 06:19:08,827 	 DEBUG 	 camInfo received 		
Ldm, 06:19:08,828 	 DEBUG 	 CAM received 		
Ldm, 06:19:08,828 	 INFO  	 METRIC_CAM_RECV 94 5375006 		
Ldm, 06:19:09,903 	 DEBUG 	 camInfo received 		
Ldm, 06:19:09,903 	 DEBUG 	 CAM received 		
Ldm, 06:19:09,903 	 INFO  	 METRIC_CAM_RECV 95 5376082 		
Ldm, 06:19:10,941 	 DEBUG 	 camInfo received 		
Ldm, 06:19:10,942 	 DEBUG 	 CAM received 		
Ldm, 06:19:10,942 	 INFO  	 METRIC_CAM_RECV 96 5377120 		
Ldm, 06:19:11,944 	 DEBUG 	 camInfo received 		
Ldm, 06:19:11,944 	 DEBUG 	 CAM received 		
Ldm, 06:19:11,944 	 INFO  	 METRIC_CAM_RECV 97 5378123 		
Ldm, 06:19:12,967 	 DEBUG 	 CAM received 		
Ldm, 06:19:12,967 	 INFO  	 METRIC_CAM_RECV 98 5379146 		
Ldm, 06:19:12,968 	 DEBUG 	 camInfo received 		
Ldm, 06:19:14,035 	 DEBUG 	 camInfo received 		
Ldm, 06:19:14,035 	 DEBUG 	 CAM received 		
Ldm, 06:19:14,035 	 INFO  	 METRIC_CAM_RECV 99 5380214 		
Ldm, 06:19:15,125 	 DEBUG 	 camInfo received 		
Ldm, 06:19:15,125 	 DEBUG 	 CAM received 		
Ldm, 06:19:15,125 	 INFO  	 METRIC_CAM_RECV 100 5381304 		
Ldm, 06:19:16,222 	 DEBUG 	 CAM received 		
Ldm, 06:19:16,222 	 INFO  	 METRIC_CAM_RECV 101 5382401 		
Ldm, 06:19:16,222 	 DEBUG 	 camInfo received 		
Ldm, 06:19:17,308 	 DEBUG 	 camInfo received 		
Ldm, 06:19:17,308 	 DEBUG 	 CAM received 		
Ldm, 06:19:17,308 	 INFO  	 METRIC_CAM_RECV 102 5383486 		
Ldm, 06:19:18,387 	 DEBUG 	 camInfo received 		
Ldm, 06:19:18,387 	 DEBUG 	 CAM received 		
Ldm, 06:19:18,387 	 INFO  	 METRIC_CAM_RECV 103 5384566 		
Ldm, 06:19:19,427 	 DEBUG 	 camInfo received 		
Ldm, 06:19:19,427 	 DEBUG 	 CAM received 		
Ldm, 06:19:19,427 	 INFO  	 METRIC_CAM_RECV 104 5385605 		
Ldm, 06:19:20,485 	 DEBUG 	 camInfo received 		
Ldm, 06:19:20,485 	 DEBUG 	 CAM received 		
Ldm, 06:19:20,486 	 INFO  	 METRIC_CAM_RECV 105 5386664 		
Ldm, 06:19:21,587 	 DEBUG 	 camInfo received 		
Ldm, 06:19:21,587 	 DEBUG 	 CAM received 		
Ldm, 06:19:21,587 	 INFO  	 METRIC_CAM_RECV 106 5387766 		
Ldm, 06:19:22,649 	 DEBUG 	 camInfo received 		
Ldm, 06:19:22,650 	 DEBUG 	 CAM received 		
Ldm, 06:19:22,650 	 INFO  	 METRIC_CAM_RECV 107 5388828 		
Ldm, 06:19:23,675 	 DEBUG 	 CAM received 		
Ldm, 06:19:23,675 	 DEBUG 	 camInfo received 		
Ldm, 06:19:23,675 	 INFO  	 METRIC_CAM_RECV 108 5389853 		
Ldm, 06:19:24,749 	 DEBUG 	 camInfo received 		
Ldm, 06:19:24,749 	 DEBUG 	 CAM received 		
Ldm, 06:19:24,749 	 INFO  	 METRIC_CAM_RECV 109 5390927 		
Ldm, 06:19:25,818 	 DEBUG 	 camInfo received 		
Ldm, 06:19:25,818 	 DEBUG 	 CAM received 		
Ldm, 06:19:25,818 	 INFO  	 METRIC_CAM_RECV 110 5391997 		
Ldm, 06:19:26,843 	 DEBUG 	 CAM received 		
Ldm, 06:19:26,843 	 INFO  	 METRIC_CAM_RECV 111 5393022 		
Ldm, 06:19:26,844 	 DEBUG 	 camInfo received 		
Ldm, 06:19:27,914 	 DEBUG 	 CAM received 		
Ldm, 06:19:27,914 	 INFO  	 METRIC_CAM_RECV 112 5394092 		
Ldm, 06:19:27,914 	 DEBUG 	 camInfo received 		
Ldm, 06:19:28,967 	 DEBUG 	 camInfo received 		
Ldm, 06:19:28,967 	 DEBUG 	 CAM received 		
Ldm, 06:19:28,968 	 INFO  	 METRIC_CAM_RECV 113 5395146 		
Ldm, 06:19:30,024 	 DEBUG 	 camInfo received 		
Ldm, 06:19:30,024 	 DEBUG 	 CAM received 		
Ldm, 06:19:30,024 	 INFO  	 METRIC_CAM_RECV 114 5396203 		
Ldm, 06:19:30,439 	 DEBUG 	 CAM received 		
Ldm, 06:19:30,439 	 DEBUG 	 camInfo received 		
Ldm, 06:19:30,439 	 INFO  	 METRIC_CAM_RECV 115 5396618 		
Ldm, 06:19:31,079 	 DEBUG 	 camInfo received 		
Ldm, 06:19:31,079 	 DEBUG 	 CAM received 		
Ldm, 06:19:31,079 	 INFO  	 METRIC_CAM_RECV 116 5397258 		
Ldm, 06:19:31,509 	 DEBUG 	 camInfo received 		
Ldm, 06:19:31,510 	 DEBUG 	 CAM received 		
Ldm, 06:19:31,510 	 INFO  	 METRIC_CAM_RECV 117 5397688 		
Ldm, 06:19:32,586 	 DEBUG 	 camInfo received 		
Ldm, 06:19:32,586 	 DEBUG 	 CAM received 		
Ldm, 06:19:32,586 	 INFO  	 METRIC_CAM_RECV 118 5398764 		
Ldm, 06:19:33,645 	 DEBUG 	 camInfo received 		
Ldm, 06:19:33,646 	 DEBUG 	 CAM received 		
Ldm, 06:19:33,646 	 INFO  	 METRIC_CAM_RECV 119 5399824 		
Ldm, 06:19:34,706 	 DEBUG 	 camInfo received 		
Ldm, 06:19:34,706 	 DEBUG 	 CAM received 		
Ldm, 06:19:34,706 	 INFO  	 METRIC_CAM_RECV 120 5400885 		
Ldm, 06:19:35,737 	 DEBUG 	 camInfo received 		
Ldm, 06:19:35,737 	 DEBUG 	 CAM received 		
Ldm, 06:19:35,737 	 INFO  	 METRIC_CAM_RECV 121 5401916 		
Ldm, 06:19:36,791 	 DEBUG 	 camInfo received 		
Ldm, 06:19:36,791 	 DEBUG 	 CAM received 		
Ldm, 06:19:36,791 	 INFO  	 METRIC_CAM_RECV 122 5402970 		
Ldm, 06:19:37,842 	 DEBUG 	 camInfo received 		
Ldm, 06:19:37,842 	 DEBUG 	 CAM received 		
Ldm, 06:19:37,843 	 INFO  	 METRIC_CAM_RECV 123 5404021 		
Ldm, 06:19:38,900 	 DEBUG 	 CAM received 		
Ldm, 06:19:38,900 	 INFO  	 METRIC_CAM_RECV 124 5405079 		
Ldm, 06:19:38,901 	 DEBUG 	 camInfo received 		
Ldm, 06:19:39,909 	 DEBUG 	 camInfo received 		
Ldm, 06:19:39,909 	 DEBUG 	 CAM received 		
Ldm, 06:19:39,909 	 INFO  	 METRIC_CAM_RECV 125 5406088 		
Ldm, 06:19:40,973 	 DEBUG 	 CAM received 		
Ldm, 06:19:40,973 	 DEBUG 	 camInfo received 		
Ldm, 06:19:40,974 	 INFO  	 METRIC_CAM_RECV 126 5407152 		
Ldm, 06:19:41,989 	 DEBUG 	 camInfo received 		
Ldm, 06:19:41,989 	 DEBUG 	 CAM received 		
Ldm, 06:19:41,989 	 INFO  	 METRIC_CAM_RECV 127 5408168 		
Ldm, 06:19:43,008 	 DEBUG 	 camInfo received 		
Ldm, 06:19:43,009 	 DEBUG 	 CAM received 		
Ldm, 06:19:43,009 	 INFO  	 METRIC_CAM_RECV 128 5409188 		
Ldm, 06:19:44,030 	 DEBUG 	 CAM received 		
Ldm, 06:19:44,030 	 INFO  	 METRIC_CAM_RECV 129 5410208 		
Ldm, 06:19:44,030 	 DEBUG 	 camInfo received 		
Ldm, 06:19:45,050 	 DEBUG 	 camInfo received 		
Ldm, 06:19:45,051 	 DEBUG 	 CAM received 		
Ldm, 06:19:45,051 	 INFO  	 METRIC_CAM_RECV 130 5411229 		
Ldm, 06:19:46,109 	 DEBUG 	 CAM received 		
Ldm, 06:19:46,110 	 INFO  	 METRIC_CAM_RECV 131 5412288 		
Ldm, 06:19:46,110 	 DEBUG 	 camInfo received 		
Ldm, 06:19:47,172 	 DEBUG 	 camInfo received 		
